Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Labels,Component,Assignee Role,Sprint,Description,Acceptance Criteria,Depends On
Epic,EPIC-CS-1,Corpus Studio (workspace/corpus),Corpus Studio (workspace/corpus),,P0,content-studio;corpus,Corpus,cto,CS-W1-CS-W4,"獨立 workspace page（對標 templates）：上傳或引用 Vault folder/files → 分類 + 學習風格 → Corpus Profile；供 Chat/Editor/Office 引用。","Corpus page 可建立 profile、analyze、編輯 style、Chat 可選 corpus_id。",
Epic,EPIC-CS-2,Library + AI Block Editor,Library + AI Block Editor,,P0,content-studio;library;editor,Library,cto,CS-W3-CS-W8,"workspace/library：Soft-RAG + Block Editor；Chat 僅 @library 才检索；Finalize to Vault 進 Hard-RAG。","Library 可編輯/AI 改/Corpus 套用；Finalize 後 Vault RAG 命中。",EPIC-CS-1
Epic,EPIC-CS-3,Office Generation Agent,Office Generation Agent,,P1,content-studio;office-agent,Orchestrator,python-lead,CS-W6-CS-W9,"docx/pdf/xlsx 生成 agent；產物進 agent_materials；Editor/Chat 可下載。","Chat 可生成 docx/pdf 並下載；可選 corpus 風格。",EPIC-CS-2
Epic,EPIC-CS-4,Conversation Skills Evolution,Conversation Skills Evolution,,P1,content-studio;skills,Chat,cto,CS-W4-CS-W7,"對話沉澱 → thread icon → Dialog 確認建 Skill → 版本 + 用量升級；與 crystallization 分線。","長對話出現 skill 建議；確認保存；可升版。",
Epic,EPIC-CS-P,Content Studio Platform Prerequisites,Content Studio Platform Prerequisites,,P2,content-studio;platform,Platform,devops,CS-W1-CS-W9,"Vault job SSE、Redis canary、legacy doc 更新、contracts 延伸。","Platform 債項不阻塞 CS-1 主線。",
Story,CS-1-S1,Corpus module skeleton + SPA register,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"oaaoai/corpus 模組；registerSpaPage workspace/corpus；gallery shell。","Sidebar 可進入；空狀態 UI；i18n EN/zh。",
Story,CS-1-S2,Corpus PostgreSQL schema,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"oaao_corpus_profile、oaao_corpus_source、oaao_corpus_segment 表 + migration。","Migration 可跑；workspace ACL 正確。",
Story,CS-1-S3,Corpus CRUD APIs,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"列表/建立/更新/刪除 corpus profile JSON API。","CRUD 通過；列表含 status 與 source 計數。",
Story,CS-1-S4,Corpus source: file upload,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"多檔上傳至 tenant storage；corpus_source.kind=upload。","Upload 成功；locator 可 analyze。",
Story,CS-1-S5,Corpus source: Vault folder/files reference,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"Vault picker 選 container 或 documents；存 ref 不複製正文。","Vault ref 持久化；權限檢查通過。",
